Position,Job Title,Company,Salary,Job link,Job Profile,City,State
1,Data Scientist,Robert Half,0.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M5ua1VBbglK-9_7yLoyXUJJSmXPxlCqD6E6A1vF0-U4SLLxmdIT_rM_QyyVT4Dr2cMj3scCRceMimf5HDr1-yCJRUY7nfirJcxVoiW1anhsgu7hkTD_SsGOZUD4U13-GI2_Rvz7KtwkFQY29DUZD32DctTEWCyssI4thfZF6_wknUxvbEfLsPZtut3KdkteOXcFAAA4byCiViRFcGwvrJD435RFPbLF-WMfGXaDKwWhGaFo-NFCNbmesizlPR52Sgogxu9RxbIWF2e-0YupLj5crZtM7U555ZefIPfRQB6Zjwcrn6YenvAbMP-xjgvHfqOUztlHYuWqUhHcpzW3BheR-mHKxE_kVX42cVvNr2KnJQZ9RvUw-M-3fyCOl2IHa0ReOjA3Fzdy7NM83jJdksRf7JWORDgG8WSq_GPQuCZT6-xtBMKi5EzofsF2TPsIew2fpfc7omLYORlCiYMho151Hhc1O2tSQK58fEdDgW3vFWkZ17MlD0_WzAAffDmnH9WRr_Z06LmFZOTOpH4eVq0L75vERBzSLgSORhangQ0HFxxsRRfSCUfADcELvTHdaqe7KdZy_IBqNF8VAhfc7gOaxDPVghKSLNEpvCrHz9_gQ9xdcKgQqRPuIgNyj-WneH7iMvVqc85-hDFn8WFM9t9vXpG0J7Wgdrd9CwGdces117GtJGYCmVWxi0k2dvdl2MA==&xkcb=SoBI6_M39QgEpPw2050LbzkdCdPP&camk=nUmJqO2E8riCTYWaePDGtA==&p=0&fvj=0&vjs=3,Data Scientist,Remote in Los Angeles,CA
2,Senior Artificial Intelligence Researcher for Scientific Discovery,Johns Hopkins Applied Physics Laboratory (APL),70000.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DND_cY4AdZ9uf0CyzxvdaEIkE64BMiSLR1NLUGRAKCdb0EIWzKl7iUQ7clxobffV8AMZ62Ymh-_C2HUqiuA1z6myShC5DIJ5VsnHThadPbuh4AG4hVMNOzx_khLkuWAD6QoIAM2AS3LomiGorU6csZPziEDzv4COG_QEgP2we6m9wO9gbuod-KvfegIbwOTrlNg524M8W2SDD-V4f7FkUEVCTTzzz75Y1JgM2Pji9bfA1DA_aBb8rFMP5wVdiTKa8uFXUPBpHbMTmkH9NRuyM9WItDW5pnbX1QexqiAKdi41AXsTsp0TNEfDLFwzRVAiG6MTHEYu6NfDtfPHUxV24t562STgjfQcWWmY3jtH3c03mkpeKMz1sgzLO0-jyw31X8rZM2ZJUlYf95D3Z5XZi1jFnZy-pn9y_xfvVvAlEoLJ6ZPqncX2c08RYaLd56W-9C_FpxaSij94TXuPYSC00ha265TanlIKxKbZxLUAPw6PGdrqQ5C-s_4vv-Deg1KXPym_jVmH8hZ1PHzyXyO7o-KhT4F3WxcyVGPG01CI_z-6BfEat09uouGDwYfp7HUlhdPoSP-EpzVR_xYKXPYQTUoKMWG8VLBY10rc-BbXpEXdY8QX5LXl0c7Q5Ds8muDkjSaxM38zTKPw==&xkcb=SoD86_M39QgEpPw2050KbzkdCdPP&camk=H-lBaXMUocJHgoO6EZRaIg==&p=1&fvj=0&vjs=3,Data Scientist,Laurel,MD
3,Senior Data Scientist,"Modern Technology Solutions, Inc.",70000.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C26OT7h5zXl7z1yVTYwN1d43osiYS9hmGqw_eY7i5KF4BfiQkczdjRxOGPN-vMk8vHzYMMvJ-Dlz2C4GI9B-NtRDuDW9fB87kzUB6vjcphEz8R6YzDooRN5Xz74Qd9NeZg4l074TDFi2cqXkjnxtaJe9CgmzLE10vHMVQz6EUNOhX1pBH53ZNvFX5dErC36Z6tui4f4gm8aqZg8pbjUjKvtWXmvZiDL7nn8h85sJvl-D3M2hk6AexWyFm94yY56buLW6IrMIgEXVPOeCh9IZlr7lA45Vvx3YC63oiMWJ6123J92PZX_MKIJTz8DmVM40LraZTsTixIIevat3JRCa4x1PzAQ17y8ya15b6oUTmC_0ILnt8SvHfkRtALI3nQdaB16kantHBRlIjBTQRESWPWsYl454kQodHipHzuDiwvqgXx540JLoPo00AFGMStdDbVRhlKUucIELN5aacKttde8mRI5aGG7D18IXnYDrhJ0u2Zbk7RzmD7ZVn4S4C2u_bt8IGZHvnpG8af3cD_err5VY3qh63KMwBtmNrCPUKSd0_945UH7bg_U-sdVTlQXvqzliCU-ZRHoQnHFBzSpsKftamlACXW0R-P4USzigZi4kKas98CQQ-Wjnibfmdh2fnr1Wr76ndS-7BOnIharz8L_qII8Mg0a2qCMdWYXnIIf8qEmvZjwW6tl9qfVyu1yJeJMdPwX49LctcX-aQD77gORIeI8fjWABsS4F7HEn-fBIcrNsSR2vn2vUMP5WmjuChSIoBE01uCNS4UBEUGrV48mEuRznopPKcr1qOSUyLFeb48nj3QXuILw_1IP6BO6jHhxYQDN4dQDw==&xkcb=SoBh6_M39QgEpPw2050JbzkdCdPP&camk=H-lBaXMUocK-CM8rzi8HLA==&p=2&fvj=0&vjs=3,Data Scientist,Huntsville,AL
4,Data Scientist,"Twitch Interactive, Inc.",70000.0,https://www.indeed.com/rc/clk?jk=4593a41913786e5b&bb=XXPpoFVwJuShmV2H6BQMP-bTQ1qd-BI0nElsZwxMuDk25wPMbmKO13ISCAZBIMK16sGR-7kxWbfyedHq-ZT1sAIW5ooBQcQni0uOpWwf6BAZQ2e4amGEHA%3D%3D&xkcb=SoAh67M39QgEpPw2050IbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,Data Scientist,Seattle,WA
5,Data Scientist,US Office of Personnel Management,103000.0,https://www.indeed.com/rc/clk?jk=d393197b7bc4231b&bb=XXPpoFVwJuShmV2H6BQMP-uq8Nz4mvMqVPN0rmz0YzIMcCwbbaaN9W13kdQuD2QJpzEk4uaauIVDmEP6Y_1HVwilhqAK2DdCAND2BsJEI1wv7SVrZ5G4Mg%3D%3D&xkcb=SoCv67M39QgEpPw2050PbzkdCdPP&fccid=e1b4a09f7fb328bb&vjs=3,Data Scientist,,
6,Data Scientist,MagicSchool AI,70000.0,https://www.indeed.com/rc/clk?jk=258a205f5e303b88&bb=XXPpoFVwJuShmV2H6BQMPygLxuU5KGZh0FBoJsrSM1_cVddLssJleCEQNj6bnGC5yQ-lZ0ZXTLfOfgxV9iNEBYYVbqYzLYyvRj1-bacmdxJFMwcF4ja6ZPsDvTiGFFb6&xkcb=SoAb67M39QgEpPw2050ObzkdCdPP&fccid=1f69207e04c940cd&vjs=3,Data Scientist,,
7,Business Data Scientist/Engineer,Apple,70000.0,https://www.indeed.com/rc/clk?jk=563bac05a887887b&bb=XXPpoFVwJuShmV2H6BQMPzIYPw3C7zqWGV31H1oL_9dVvZn04f6Ld1lMRgmrdtrkpyMPKa6s5Dc3lkslj9m41Y7d_qchwvIDFmG3hKIvjW-UC2W51H_m3g%3D%3D&xkcb=SoCG67M39QgEpPw2050NbzkdCdPP&fccid=c1099851e9794854&vjs=3,Data Scientist,Austin,TX
8,Data Scientist I,GM Financial,70000.0,https://www.indeed.com/rc/clk?jk=85b9540e6b08e161&bb=XXPpoFVwJuShmV2H6BQMP2VDuxuxDp2czo--I-09iA5aY0HzA6_5TzrZp0EKvf1BVTHp5vFVGU89tTHdhBY_yDkyRD4PCRWlTn1-rBRcNfyUiP5IHgf-5g1RJXlJiPW7&xkcb=SoAy67M39QgEpPw2050MbzkdCdPP&fccid=b6e80abbe732699d&vjs=3,Data Scientist,Hybrid work in Fort Worth,TX
9,Data Scientist,Ropes & Gray LLP,0.0,https://www.indeed.com/rc/clk?jk=fec3590ced9d694d&bb=XXPpoFVwJuShmV2H6BQMP-Urk2lyQ4SmwRConBH8JCy1eOaPJndO050YxzIMtFjIatevp1Gukcnr9mqLMhqRAjg47Ycz0pFu8dDat2oyzINK4AxtwtbGVbGqQT-bu9bU&xkcb=SoDb67M39QgEpPw2050DbzkdCdPP&fccid=98eb0c45006b3266&vjs=3,Data Scientist,Hybrid work in Boston,MA
10,Associate Data Scientist,UPMC,70000.0,https://www.indeed.com/rc/clk?jk=f5de21340edf241a&bb=XXPpoFVwJuShmV2H6BQMPz8ycSv7CS95CNYFsh-467xvPzsy2eUSaMl4bI_fBUauZLTBg-qv184NcfYz8hljlF5Sgw8zNqqrHeMH6dgJmtyx5lnk7t4Mow%3D%3D&xkcb=SoBv67M39QgEpPw2050CbzkdCdPP&fccid=b75dda97eecc3e82&vjs=3,Data Scientist,Pittsburgh,PA
